,date,likes,reposts,views,comments,text
50730,1712901117,31,25,3995,0,"Платья с открытой спинкой в винтажном стиле ♥ 
 
2790₽"
50726,1712859391,24,21,6592,3,"Комплекты из хлопкового муслина с поясом ♥ 
 
2690₽"
50725,1712846238,8,4,6314,0,"Фотографии наших прекрасных клиенток в вещах от LolySweet 💕

Больше 1350 отзывов с фото о нас ждут вас по этой ссылке: https://vk.com/topic-59803960_28776574?offset=1360

Тем, кто уже делал у нас заказ, напоминаем, за любой отзыв мы подарим вам скидку 5% на следующий заказ ❤

#Отзывы"
50721,1712840095,29,28,7411,3,"Хлопковые платья на запах с объёмными рукавами ♥️

2590₽"
50720,1712819033,23,19,4581,0,"Трикотажные платья-макси с открытой спинкой 🤍

2690₽"
50718,1712764958,19,17,6696,0,"Укороченный молочный бомбер на весну-лето 💔

2590₽

Размеры: S M L"
50717,1712748205,28,17,4778,0,"Платья-макси из хлопка с принтом в сердечки ❤ 
 
2690₽"
50716,1712738271,17,17,9317,0,"Атласные юбки миди с принтом 💔 
 
1950₽"
50715,1712733600,3,0,4122,0,"Сумка, которая скажет всё за тебя!

- Подберем идеальное сочетание цвета кожи и дерева
- Нанесём персональную гравировку с любимой фразой
- Красиво упакуем и отправим быстрой доставкой

Больше крутых вариантов по ссылке: https://vk.cc/csSnRc"
50714,1712692625,26,22,7482,0,"Трикотажные платья со шнуровкой на спинке ✨🌷 
 
1890₽"
50713,1712692262,4,0,18813,0,"Внимание: Если вам написали якобы от имени нашего магазина и предложили скидку или оформить напрямую заказ— вам написали мошенники. 
У нас не проходят никакие акции и мы никому не пишем первыми. 
Будьте осторожны и пишите нам только в сообщения группы или [id12386197|Анна Рыбалко]"
50709,1712677275,22,15,3465,2,"Приталенные платья с открытыми плечами и цветочным принтом 💕

2390₽

Размеры: S M L 
Длина 120, 125 и 130 см"
50707,1712658663,40,35,9721,0,"Хлопковые костюмы с жилетом 💔

2690₽"
50705,1712650610,37,21,6313,0,"Идеальное пляжное платье с открытой спинкой ✨

2550₽"
50702,1712642541,35,22,10655,0,"Трикотажные платья-бандо по фигуре 🤍

2550₽"
50698,1712602507,48,49,12560,2,"Хлопковые тройные комплекты: топ, шорты и худи 🤍

2790₽"
50695,1712594153,70,62,22094,4,"🧡 Новая коллекция купальников
Любой — 1790 рублей"
50692,1712582012,44,24,8694,2,"💕 Комплект юбка+блузка из воздушного молочного шифона с принтом 

3350₽"
50687,1712554293,160,185,39845,3,"Минималистичные купальники-бикини ♥️

1690₽"
50685,1712516953,51,50,11734,3,"Хлопковые платья в винтажном стиле 💔 
 
2690₽"
50677,1712507065,32,21,10898,0,"Платье в стиле Old Money 🤍

2590₽"
50672,1712502606,40,43,18165,2,"Укороченные стильные бомберы 🤍

2890₽"
50668,1712491307,48,29,11445,1,"Приталенные платья с цветочным принтом 🌷

2890₽"
50665,1712478433,24,27,7596,0,Тройные комплекты белья с поясом за 1690₽ 💔
50661,1712471515,93,83,19473,3,"Пляжное трикотажное платье с открытой спинкой 🤍

2390₽"
50659,1712436239,79,66,16089,1,"Трикотажное платье-миди по фигуре 🤍

2390₽"
50651,1712410381,42,38,12916,8,"Изумрудные атласные комплекты ❤ 
 
2950₽ 
 
На рост до 172-173 см"
50650,1712396254,24,11,10409,0,"Стильные фактурные бомберы 💚

2950₽"
50643,1712379509,54,35,16768,7,"Топ в винтажном стиле корсетного кроя 💔

1390₽"
50635,1712342280,100,70,13622,4,"Шикарные сарафаны-миди со шнуровкой 💔

2690₽"
50632,1712335179,39,29,11125,1,"Идеальные боди с длинным рукавом и открытыми плечами 💔

1690₽"
50631,1712333326,5,0,3604,0,"Друзья, с 25 апреля по 12 мая мы будем в отпуске. 
Если вы хотели бы успеть получить ваш заказ не в конце-мая-июне, а в апреле-начале мая, рекомендуем сделать заказ до 25 числа 🤍 
 
Во время отпуска приём новых заказов будет остановлен, но все уже оформленные заказы до 25 апреля будут отправлены и работа по ним будет вестись ✨ 
 
Всем хорошего дня!"
50630,1712326440,38,36,10213,0,"Комплекты из смесового льна ♥ 
 
2690₽"
50626,1712312511,41,34,8267,0,"Хлопковые комплекты в стиле кантри 🤍 
 
2690₽"
50625,1712308500,3,0,6958,0,"Всего один год, и вы дипломированный психолог с кейсами. Старт здесь.

Чем бы вы ни занимались, каким бы ни был ваш жизненный путь, и как бы ни выглядела ваша «точка А» — всегда можно перевернуть свою жизнь ровно за год.

Освоить новую профессию, разобраться в себе, уйти из токсичных отношений, начать работать на себя — сегодня на это не нужно положить целую жизнь. И как раз прямо сейчас в онлайн-университете Talentsy идет набор на обучение по программе «Профессия психолог-консультант»: https://link.talentsy.ru/Hr5Ko5DcX4

- преподаватели — психотерапевты с 30-летним опытом, преподаватели МГУ, обладатели грантов Президента РФ, авторы книг, передач и члены профессиональных объединений;
- фундаментальная и подробная программа обучения, которая соответствует профессиональным стандартам;
- 1200 академических часов и практика с первых дней;
- блок о личном бренде и привлечении клиентов;
- реальный, физический диплом, который не стыдно показать клиенту и работодателю + 2 международных диплома.

Записаться на обучение или узнать больше можно по ссылочке:
https://link.talentsy.ru/Hr5Ko5DcX4"
50623,1712303675,29,17,8630,2,"Оливковые платья в винтажном стиле 💛 
 
2550₽"
