,date,likes,reposts,views,comments,name,price,product_category,catalog_category,time,time_category,price_category
0,11.04.2024,29,28,7411,3,Хлопковые платья на запах с объёмными рукавами ,2590,платья,платья,12:54:55,дневное,средний
1,11.04.2024,23,19,4581,0,Трикотажные платья-макси с открытой спинкой ,2690,платья,платья,07:03:53,утреннее,средний
2,09.04.2024,40,35,9721,0,Хлопковые костюмы с жилетом ,2690,костюмы,комплекты,10:31:03,утреннее,средний
3,09.04.2024,37,21,6313,0,Идеальное пляжное платье с открытой спинкой ,2550,платья,платья,08:16:50,утреннее,средний
4,09.04.2024,35,22,10655,0,Трикотажные платья-бандо по фигуре ,2550,платья,платья,06:02:21,утреннее,средний
5,08.04.2024,48,49,12560,2,"Хлопковые тройные комплекты: топ, шорты и худи ",2790,комплекты,комплекты,18:55:07,вечернее,средний
6,08.04.2024,44,24,8694,2, Комплект юбка+блузка из воздушного молочного шифона с принтом ,3350,платья,платья,13:13:32,дневное,средний
7,08.04.2024,160,185,39845,3,Минималистичные купальники-бикини ,1690,купальники,купальники,05:31:33,ночное,дешёвый
8,07.04.2024,32,21,10898,0,Платье в стиле Old Money ,2590,платья,платья,16:24:25,дневное,средний
9,07.04.2024,40,43,18165,2,Укороченные стильные бомберы ,2890,бомберы,верхняя одежда,15:10:06,дневное,средний
10,07.04.2024,48,29,11445,1,Приталенные платья с цветочным принтом ,2890,платья,платья,12:01:47,дневное,средний
11,07.04.2024,93,83,19473,3,Пляжное трикотажное платье с открытой спинкой ,2390,платья,платья,06:31:55,утреннее,средний
12,06.04.2024,79,66,16089,1,Трикотажное платье-миди по фигуре ,2390,платья,платья,20:43:59,вечернее,средний
13,06.04.2024,24,11,10409,0,Стильные фактурные бомберы ,2950,бомберы,верхняя одежда,09:37:34,утреннее,средний
14,06.04.2024,54,35,16768,7,Топ в винтажном стиле корсетного кроя ,1390,топы,блузки/рубашки/свитера,04:58:29,ночное,дешёвый
15,05.04.2024,100,70,13622,4,Шикарные сарафаны-миди со шнуровкой ,2690,сарафаны,платья,18:38:00,вечернее,средний
16,05.04.2024,39,29,11125,1,Идеальные боди с длинным рукавом и открытыми плечами ,1690,боди,блузки/рубашки/свитера,16:39:39,дневное,дешёвый
17,04.04.2024,45,28,11369,2,Хлопковые комплекты с шортами ,2390,комплекты,комплекты,06:21:04,утреннее,средний
18,02.04.2024,78,73,21653,3,Укороченный Молочный бомбер на весну-лето ,2590,бомберы,верхняя одежда,10:31:06,утреннее,средний
19,02.04.2024,28,31,9411,0,Приталенные платья в винтажном стиле ,2550,платья,платья,06:30:14,утреннее,средний
20,31.03.2024,31,22,7919,0,Приталенные платья с открытыми плечами и цветочным принтом ,2390,платья,платья,14:56:41,дневное,средний
21,29.03.2024,60,75,22999,1,Трикотажные платья с открытой спинкой ,2350,платья,платья,07:40:25,утреннее,средний
22,27.03.2024,84,94,24689,0,Комплекты из нежного хлопкового муслина ,2690,комплекты,комплекты,08:00:30,утреннее,средний
23,26.03.2024,42,33,16462,0,Чёрный комплект белья с поясом ,1690,комплекты,комплекты,18:45:00,вечернее,дешёвый
24,26.03.2024,57,37,12223,2,Шорты объемного кроя с высокой посадкой ,1790,шорты,брюки/комбинезоны/джинсы,16:52:35,дневное,дешёвый
25,26.03.2024,104,93,33535,0,Атласные юбки миди с принтом ,1950,платья,платья,08:01:56,утреннее,дешёвый
26,26.03.2024,26,31,7540,0,Платья по фигуре со шнуровкой на спинке ,1890,платья,платья,04:52:00,ночное,дешёвый
27,25.03.2024,123,101,19751,3,Атласные платья со шнуровкой на спинке ,2390,платья,платья,04:17:00,ночное,средний
28,24.03.2024,285,186,51134,1,Чернильные юбки на запахе ,1790,платья,платья,15:32:18,дневное,дешёвый
29,24.03.2024,140,76,25162,5,Приталенные платья с цветочным принтом ,2890,платья,платья,13:10:39,дневное,средний
30,24.03.2024,46,29,17648,1,Бархатные платья с воротничком ,2690,платья,платья,07:29:07,утреннее,средний
31,23.03.2024,78,50,28466,0,Оливковые комплекты с шортами ,2690,комплекты,комплекты,15:29:30,дневное,средний
32,23.03.2024,114,93,29105,1,Трикотажные платья с открытой спинкой ,2550,платья,платья,11:56:54,утреннее,средний
33,22.03.2024,88,83,25672,1,Платья с открытой спинкой в винтажном стиле ,2790,платья,платья,18:41:00,вечернее,средний
34,22.03.2024,25,39,15522,5,Бомбер из плотной ткани в трех оттенках ,2950,бомберы,верхняя одежда,13:14:01,дневное,средний
35,22.03.2024,55,45,12855,1,Хлопковые комплекты с рубашкой ,2690,комплекты,комплекты,11:00:46,утреннее,средний
36,22.03.2024,117,140,29657,6,Укороченный Молочный бомбер на весну-лето ,2590,бомберы,верхняя одежда,06:39:11,утреннее,средний
37,21.03.2024,66,50,14120,2,Комплекты из хлопкового муслина с поясом ,2690,комплекты,комплекты,17:51:55,дневное,средний
38,21.03.2024,106,88,15793,2,Костюм с шортами в стиле бохо ,2690,шорты,брюки/комбинезоны/джинсы,16:18:10,дневное,средний
39,21.03.2024,28,17,6621,6,Платья с открытыми плечами и цветочным принтом ,2390,платья,платья,11:58:11,утреннее,средний
40,21.03.2024,643,429,206031,7,Платье в винтажном стиле с принтом ,2790,платья,платья,08:24:00,утреннее,средний
41,21.03.2024,25,30,9544,1,Атласные приталенные платья с воротничком ,2690,платья,платья,06:06:54,утреннее,средний
42,20.03.2024,20,31,12117,1,Комплект в сердечки с поясом ,1690,комплекты,комплекты,05:27:36,ночное,дешёвый
43,19.03.2024,52,75,9868,5,Дизайнерские джинсовые комплекты ,2690,комплекты,комплекты,19:45:45,вечернее,средний
44,19.03.2024,30,40,7997,1,Комплект с боди и перчатками винного цвета ,1690,комплекты,комплекты,18:02:40,вечернее,дешёвый
45,19.03.2024,49,46,12971,0,Ярусные платья винного цвета ,2790,платья,платья,07:13:38,утреннее,средний
